VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
590, 206, -0.09055,  1.26187, -0.20855,  0.87035,  0.89691,  1.17997, -0.40696, -0.06742
591, 206, -0.09055,  1.26187, -0.20855,  0.87035,  0.89691,  1.17997, -0.40696, -0.06742
592, 205, -0.12843,  1.21483, -0.21456,  0.97673,  0.82712,  0.68756, -1.03921,  0.09897
593, 203, -0.09784,  1.24918, -0.24735,  0.87035,  0.82712,  1.10358, -0.43231, -0.39713
594, 196, -0.07628,  1.32358, -0.19855,  0.75076,  0.95536,  1.0058,  0.49125,  0.45081
595, 206, -0.09055,  1.26187, -0.20855,  0.87035,  0.89691,  1.17997, -0.40696, -0.06742
596, 199, -0.09894,  1.29984, -0.23597,  0.75076,  0.89691,  1.05063,  0.32908, -0.59193
597, 205, -0.12843,  1.21483, -0.21456,  0.97673,  0.82712,  0.68756, -1.03921,  0.09897
598, 206, -0.09055,  1.26187, -0.20855,  0.87035,  0.89691,  1.17997, -0.40696, -0.06742
599, 207, -0.10906,  1.23659, -0.18555,  0.97673,  0.89691,  0.82029, -0.89086,  0.30984
600, 206, -0.09055,  1.26187, -0.20855,  0.87035,  0.89691,  1.17997, -0.40696, -0.06742
601, 196, -0.07628,  1.32358, -0.19855,  0.75076,  0.95536,  1.0058,  0.49125,  0.45081
602, 208, -0.07929,  1.28676, -0.18016,  0.87035,  0.95536,  0.89618,  0.06992,  0.81337
603, 208, -0.07929,  1.28676, -0.18016,  0.87035,  0.95536,  0.89618,  0.06992,  0.81337
604, 207, -0.10906,  1.23659, -0.18555,  0.97673,  0.89691,  0.82029, -0.89086,  0.30984
605, 206, -0.09055,  1.26187, -0.20855,  0.87035,  0.89691,  1.17997, -0.40696, -0.06742
606, 196, -0.07628,  1.32358, -0.19855,  0.75076,  0.95536,  1.0058,  0.49125,  0.45081
607, 197, -0.08926,  1.28883, -0.18068,  0.87035,  0.98029,  0.12312,  0.56847,  1.05438
608, 208, -0.07929,  1.28676, -0.18016,  0.87035,  0.95536,  0.89618,  0.06992,  0.81337
609, 207, -0.10906,  1.23659, -0.18555,  0.97673,  0.89691,  0.82029, -0.89086,  0.30984
610, 208, -0.07929,  1.28676, -0.18016,  0.87035,  0.95536,  0.89618,  0.06992,  0.81337
611, 209, -0.09787,  1.26019, -0.16517,  0.97673,  0.95536,  0.68562, -0.36334,  0.93992
612, 210, -0.10427,  1.26729, -0.16779,  0.97673,  0.98029,  0.19258,  0.62196,  1.01259
613, 208, -0.07929,  1.28676, -0.18016,  0.87035,  0.95536,  0.89618,  0.06992,  0.81337
614, 197, -0.08926,  1.28883, -0.18068,  0.87035,  0.98029,  0.12312,  0.56847,  1.05438
615, 208, -0.07929,  1.28676, -0.18016,  0.87035,  0.95536,  0.89618,  0.06992,  0.81337
616, 210, -0.10427,  1.26729, -0.16779,  0.97673,  0.98029,  0.19258,  0.62196,  1.01259
617, 209, -0.09787,  1.26019, -0.16517,  0.97673,  0.95536,  0.68562, -0.36334,  0.93992
