VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
3986, 964,  0.01084,  15.5452,  0.58126,  0.4406,  0.5001,  0.72366, -0.67402,  0.14836
3987, 964,  0.01084,  15.5452,  0.58126,  0.4406,  0.5001,  0.72366, -0.67402,  0.14836
3988, 1041,  0.03219,  15.54864,  0.46361,  0.4295,  0.5009,  0.62661, -0.77922,  0.01343
3989, 959,  0.03968,  15.56803,  0.43645,  0.4261,  0.4984,  0.91551, -0.36234,  0.1748
3990, 1037, -0.12033,  15.51769,  0.65524,  0.4549,  0.5069, -0.2582, -0.88057, -0.3974
3991, 1042, -0.07969,  15.53844,  0.5672,  0.4438,  0.5069, -0.28671, -0.92569, -0.24678
3992, 1039, -0.01529,  15.54084,  0.57651,  0.4415,  0.5023,  0.1137, -0.98768, -0.10753
3993, 1041,  0.03219,  15.54864,  0.46361,  0.4295,  0.5009,  0.62661, -0.77922,  0.01343
3994, 1039, -0.01529,  15.54084,  0.57651,  0.4415,  0.5023,  0.1137, -0.98768, -0.10753
3995, 1042, -0.07969,  15.53844,  0.5672,  0.4438,  0.5069, -0.28671, -0.92569, -0.24678
3996, 959,  0.03968,  15.56803,  0.43645,  0.4261,  0.4984,  0.91551, -0.36234,  0.1748
3997, 1041,  0.03219,  15.54864,  0.46361,  0.4295,  0.5009,  0.62661, -0.77922,  0.01343
3998, 1043, -0.02877,  15.54881,  0.45536,  0.4317,  0.5067, -0.10991, -0.9869, -0.11809
3999, 1042, -0.07969,  15.53844,  0.5672,  0.4438,  0.5069, -0.28671, -0.92569, -0.24678
4000, 1043, -0.02877,  15.54881,  0.45536,  0.4317,  0.5067, -0.10991, -0.9869, -0.11809
4001, 1041,  0.03219,  15.54864,  0.46361,  0.4295,  0.5009,  0.62661, -0.77922,  0.01343
4002, 1043, -0.02877,  15.54881,  0.45536,  0.4317,  0.5067, -0.10991, -0.9869, -0.11809
4003, 1044, -0.0471,  15.5386,  0.40983,  0.4306,  0.511, -0.2383, -0.97118, -0.00513
4004, 959,  0.03968,  15.56803,  0.43645,  0.4261,  0.4984,  0.91551, -0.36234,  0.1748
4005, 1044, -0.0471,  15.5386,  0.40983,  0.4306,  0.511, -0.2383, -0.97118, -0.00513
4006, 1043, -0.02877,  15.54881,  0.45536,  0.4317,  0.5067, -0.10991, -0.9869, -0.11809
4007, 1042, -0.07969,  15.53844,  0.5672,  0.4438,  0.5069, -0.28671, -0.92569, -0.24678
4008, 1045, -0.11159,  15.58501,  0.56278,  0.4449,  0.5106, -0.41854, -0.87668, -0.23719
4009, 1042, -0.07969,  15.53844,  0.5672,  0.4438,  0.5069, -0.28671, -0.92569, -0.24678
4010, 1037, -0.12033,  15.51769,  0.65524,  0.4549,  0.5069, -0.2582, -0.88057, -0.3974
4011, 1042, -0.07969,  15.53844,  0.5672,  0.4438,  0.5069, -0.28671, -0.92569, -0.24678
4012, 1045, -0.11159,  15.58501,  0.56278,  0.4449,  0.5106, -0.41854, -0.87668, -0.23719
4013, 1044, -0.0471,  15.5386,  0.40983,  0.4306,  0.511, -0.2383, -0.97118, -0.00513
4014, 1037, -0.12033,  15.51769,  0.65524,  0.4549,  0.5069, -0.2582, -0.88057, -0.3974
4015, 1040, -0.15356,  15.54067,  0.65586,  0.4562,  0.5107, -0.38684, -0.78156, -0.48941
4016, 1045, -0.11159,  15.58501,  0.56278,  0.4449,  0.5106, -0.41854, -0.87668, -0.23719
4017, 1046, -0.13164,  15.58056,  0.40565,  0.4308,  0.5167, -0.21275, -0.95616,  0.20122
4018, 1044, -0.0471,  15.5386,  0.40983,  0.4306,  0.511, -0.2383, -0.97118, -0.00513
4019, 1045, -0.11159,  15.58501,  0.56278,  0.4449,  0.5106, -0.41854, -0.87668, -0.23719
4020, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
4021, 1045, -0.11159,  15.58501,  0.56278,  0.4449,  0.5106, -0.41854, -0.87668, -0.23719
4022, 1040, -0.15356,  15.54067,  0.65586,  0.4562,  0.5107, -0.38684, -0.78156, -0.48941
4023, 1045, -0.11159,  15.58501,  0.56278,  0.4449,  0.5106, -0.41854, -0.87668, -0.23719
4024, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
4025, 1046, -0.13164,  15.58056,  0.40565,  0.4308,  0.5167, -0.21275, -0.95616,  0.20122
4026, 1040, -0.15356,  15.54067,  0.65586,  0.4562,  0.5107, -0.38684, -0.78156, -0.48941
4027, 1038, -0.19795,  15.56224,  0.64586,  0.4572,  0.5161, -0.14169, -0.89692, -0.41889
4028, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
4029, 1048, -0.25372,  15.59189,  0.40285,  0.4328,  0.5243, -0.03816, -0.98647,  0.15946
4030, 1046, -0.13164,  15.58056,  0.40565,  0.4308,  0.5167, -0.21275, -0.95616,  0.20122
4031, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
