VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
9779, 2197, -1.90385,  11.75713, -1.18465,  0.7103,  0.8984, -0.62118,  0.03552,  0.78036
9780, 2200, -1.88543,  11.92044, -1.13933,  0.7103,  0.9072, -0.69788, -0.10762,  0.70602
9781, 2195, -1.60803,  11.77913, -1.01268,  0.726,  0.9051,  0.09408, -0.37393,  0.92115
9782, 2198, -1.60283,  12.35356, -0.85994,  0.726,  0.9367,  0.21799, -0.17058,  0.95987
9783, 2199, -1.42933,  12.79095, -1.03878,  0.7465,  0.9604,  0.73629, -0.62443,  0.25127
9784, 2201, -1.61121,  12.80315, -0.78646,  0.726,  0.9606,  0.30968, -0.26247,  0.91138
9785, 2198, -1.60283,  12.35356, -0.85994,  0.726,  0.9367,  0.21799, -0.17058,  0.95987
9786, 2202, -1.59462,  12.84535, -0.7642,  0.726,  0.9629, -0.62111, -0.65805,  0.41257
9787, 2201, -1.61121,  12.80315, -0.78646,  0.726,  0.9606,  0.30968, -0.26247,  0.91138
9788, 2199, -1.42933,  12.79095, -1.03878,  0.7465,  0.9604,  0.73629, -0.62443,  0.25127
9789, 2203, -1.85076,  12.45736, -0.94083,  0.7103,  0.9367, -0.67187, -0.10566,  0.73111
9790, 2198, -1.60283,  12.35356, -0.85994,  0.726,  0.9367,  0.21799, -0.17058,  0.95987
9791, 2201, -1.61121,  12.80315, -0.78646,  0.726,  0.9606,  0.30968, -0.26247,  0.91138
9792, 2198, -1.60283,  12.35356, -0.85994,  0.726,  0.9367,  0.21799, -0.17058,  0.95987
9793, 2203, -1.85076,  12.45736, -0.94083,  0.7103,  0.9367, -0.67187, -0.10566,  0.73111
9794, 2200, -1.88543,  11.92044, -1.13933,  0.7103,  0.9072, -0.69788, -0.10762,  0.70602
9795, 2204, -1.7749,  13.10354, -0.7496,  0.7103,  0.9719, -0.72919, -0.02175,  0.67455
9796, 2201, -1.61121,  12.80315, -0.78646,  0.726,  0.9606,  0.30968, -0.26247,  0.91138
9797, 2202, -1.59462,  12.84535, -0.7642,  0.726,  0.9629, -0.62111, -0.65805,  0.41257
9798, 2201, -1.61121,  12.80315, -0.78646,  0.726,  0.9606,  0.30968, -0.26247,  0.91138
9799, 2204, -1.7749,  13.10354, -0.7496,  0.7103,  0.9719, -0.72919, -0.02175,  0.67455
9800, 2203, -1.85076,  12.45736, -0.94083,  0.7103,  0.9367, -0.67187, -0.10566,  0.73111
9801, 2202, -1.59462,  12.84535, -0.7642,  0.726,  0.9629, -0.62111, -0.65805,  0.41257
9802, 2205, -1.669,  13.20774, -0.6345,  0.7103,  0.9784, -0.92066,  0.04705,  0.3641
9803, 2204, -1.7749,  13.10354, -0.7496,  0.7103,  0.9719, -0.72919, -0.02175,  0.67455
9804, 2206, -2.01584,  12.01634, -1.35588,  0.6947,  0.9076, -0.9663,  0.08208,  0.24072
9805, 2200, -1.88543,  11.92044, -1.13933,  0.7103,  0.9072, -0.69788, -0.10762,  0.70602
9806, 2203, -1.85076,  12.45736, -0.94083,  0.7103,  0.9367, -0.67187, -0.10566,  0.73111
9807, 2207, -1.78386,  13.37026, -0.89908,  0.6947,  0.9804, -0.95351,  0.26132,  0.10792
9808, 2204, -1.7749,  13.10354, -0.7496,  0.7103,  0.9719, -0.72919, -0.02175,  0.67455
9809, 2205, -1.669,  13.20774, -0.6345,  0.7103,  0.9784, -0.92066,  0.04705,  0.3641
9810, 2205, -1.669,  13.20774, -0.6345,  0.7103,  0.9784, -0.92066,  0.04705,  0.3641
9811, 2208, -1.65559,  13.71889, -0.75172,  0.6947,  0.9969, -0.91164,  0.3803,  0.09826
9812, 2207, -1.78386,  13.37026, -0.89908,  0.6947,  0.9804, -0.95351,  0.26132,  0.10792
9813, 2209, -1.95394,  12.55903, -1.17051,  0.6947,  0.9367, -0.98421,  0.12154,  0.11651
9814, 2203, -1.85076,  12.45736, -0.94083,  0.7103,  0.9367, -0.67187, -0.10566,  0.73111
9815, 2204, -1.7749,  13.10354, -0.7496,  0.7103,  0.9719, -0.72919, -0.02175,  0.67455
9816, 2204, -1.7749,  13.10354, -0.7496,  0.7103,  0.9719, -0.72919, -0.02175,  0.67455
9817, 2207, -1.78386,  13.37026, -0.89908,  0.6947,  0.9804, -0.95351,  0.26132,  0.10792
9818, 2209, -1.95394,  12.55903, -1.17051,  0.6947,  0.9367, -0.98421,  0.12154,  0.11651
9819, 2203, -1.85076,  12.45736, -0.94083,  0.7103,  0.9367, -0.67187, -0.10566,  0.73111
9820, 2209, -1.95394,  12.55903, -1.17051,  0.6947,  0.9367, -0.98421,  0.12154,  0.11651
9821, 2206, -2.01584,  12.01634, -1.35588,  0.6947,  0.9076, -0.9663,  0.08208,  0.24072
9822, 2210, -1.67366,  13.50608, -1.1396,  0.678,  0.9804, -0.78244,  0.37708, -0.49113
9823, 2207, -1.78386,  13.37026, -0.89908,  0.6947,  0.9804, -0.95351,  0.26132,  0.10792
9824, 2208, -1.65559,  13.71889, -0.75172,  0.6947,  0.9969, -0.91164,  0.3803,  0.09826
9825, 2208, -1.65559,  13.71889, -0.75172,  0.6947,  0.9969, -0.91164,  0.3803,  0.09826
9826, 2211, -1.52158,  13.91406, -1.02273,  0.678,  0.9969, -0.61905,  0.67867, -0.38489
9827, 2210, -1.67366,  13.50608, -1.1396,  0.678,  0.9804, -0.78244,  0.37708, -0.49113
9828, 2210, -1.67366,  13.50608, -1.1396,  0.678,  0.9804, -0.78244,  0.37708, -0.49113
9829, 2211, -1.52158,  13.91406, -1.02273,  0.678,  0.9969, -0.61905,  0.67867, -0.38489
9830, 2212, -1.35704,  13.78441, -1.23186,  0.6635,  0.9969, -0.35953,  0.49799, -0.78803
9831, 2213, -1.90047,  12.6102, -1.39568,  0.678,  0.9367, -0.81444,  0.2774, -0.50756
9832, 2209, -1.95394,  12.55903, -1.17051,  0.6947,  0.9367, -0.98421,  0.12154,  0.11651
9833, 2207, -1.78386,  13.37026, -0.89908,  0.6947,  0.9804, -0.95351,  0.26132,  0.10792
9834, 2207, -1.78386,  13.37026, -0.89908,  0.6947,  0.9804, -0.95351,  0.26132,  0.10792
9835, 2210, -1.67366,  13.50608, -1.1396,  0.678,  0.9804, -0.78244,  0.37708, -0.49113
9836, 2213, -1.90047,  12.6102, -1.39568,  0.678,  0.9367, -0.81444,  0.2774, -0.50756
9837, 2206, -2.01584,  12.01634, -1.35588,  0.6947,  0.9076, -0.9663,  0.08208,  0.24072
9838, 2209, -1.95394,  12.55903, -1.17051,  0.6947,  0.9367, -0.98421,  0.12154,  0.11651
9839, 2213, -1.90047,  12.6102, -1.39568,  0.678,  0.9367, -0.81444,  0.2774, -0.50756
9840, 2212, -1.35704,  13.78441, -1.23186,  0.6635,  0.9969, -0.35953,  0.49799, -0.78803
9841, 2214, -1.4995,  13.43525, -1.33485,  0.6635,  0.9804, -0.36573,  0.3814, -0.84824
9842, 2210, -1.67366,  13.50608, -1.1396,  0.678,  0.9804, -0.78244,  0.37708, -0.49113
9843, 2213, -1.90047,  12.6102, -1.39568,  0.678,  0.9367, -0.81444,  0.2774, -0.50756
9844, 2210, -1.67366,  13.50608, -1.1396,  0.678,  0.9804, -0.78244,  0.37708, -0.49113
9845, 2214, -1.4995,  13.43525, -1.33485,  0.6635,  0.9804, -0.36573,  0.3814, -0.84824
9846, 2214, -1.4995,  13.43525, -1.33485,  0.6635,  0.9804, -0.36573,  0.3814, -0.84824
9847, 2212, -1.35704,  13.78441, -1.23186,  0.6635,  0.9969, -0.35953,  0.49799, -0.78803
9848, 2215, -1.24106,  13.3178, -1.34518,  0.6452,  0.9821, -0.04812,  0.1577, -0.98187
9849, 2215, -1.24106,  13.3178, -1.34518,  0.6452,  0.9821, -0.04812,  0.1577, -0.98187
9850, 2216, -1.33334,  13.21689, -1.4296,  0.6452,  0.9748,  0.25002,  0.17135, -0.94986
9851, 2214, -1.4995,  13.43525, -1.33485,  0.6635,  0.9804, -0.36573,  0.3814, -0.84824
9852, 2216, -1.33334,  13.21689, -1.4296,  0.6452,  0.9748,  0.25002,  0.17135, -0.94986
9853, 2215, -1.24106,  13.3178, -1.34518,  0.6452,  0.9821, -0.04812,  0.1577, -0.98187
9854, 2217, -1.26365,  12.92194, -1.2917,  0.6295,  0.9659,  0.2325, -0.53206, -0.80559
9855, 2214, -1.4995,  13.43525, -1.33485,  0.6635,  0.9804, -0.36573,  0.3814, -0.84824
9856, 2218, -1.68472,  12.62768, -1.55672,  0.6635,  0.9367, -0.3056,  0.23425, -0.92189
9857, 2213, -1.90047,  12.6102, -1.39568,  0.678,  0.9367, -0.81444,  0.2774, -0.50756
9858, 2218, -1.68472,  12.62768, -1.55672,  0.6635,  0.9367, -0.3056,  0.23425, -0.92189
9859, 2214, -1.4995,  13.43525, -1.33485,  0.6635,  0.9804, -0.36573,  0.3814, -0.84824
9860, 2216, -1.33334,  13.21689, -1.4296,  0.6452,  0.9748,  0.25002,  0.17135, -0.94986
9861, 2217, -1.26365,  12.92194, -1.2917,  0.6295,  0.9659,  0.2325, -0.53206, -0.80559
9862, 2219, -1.27629,  12.88256, -1.30408,  0.6295,  0.9638,  0.95809, -0.19764, -0.17871
9863, 2216, -1.33334,  13.21689, -1.4296,  0.6452,  0.9748,  0.25002,  0.17135, -0.94986
9864, 2219, -1.27629,  12.88256, -1.30408,  0.6295,  0.9638,  0.95809, -0.19764, -0.17871
9865, 2217, -1.26365,  12.92194, -1.2917,  0.6295,  0.9659,  0.2325, -0.53206, -0.80559
9866, 2220, -1.42933,  12.79095, -1.03878,  0.6085,  0.9629,  0.73629, -0.62443,  0.25127
9867, 2221, -1.44477,  12.57906, -1.55576,  0.6452,  0.9367,  0.42187,  0.07751, -0.90186
9868, 2216, -1.33334,  13.21689, -1.4296,  0.6452,  0.9748,  0.25002,  0.17135, -0.94986
9869, 2219, -1.27629,  12.88256, -1.30408,  0.6295,  0.9638,  0.95809, -0.19764, -0.17871
9870, 2216, -1.33334,  13.21689, -1.4296,  0.6452,  0.9748,  0.25002,  0.17135, -0.94986
9871, 2221, -1.44477,  12.57906, -1.55576,  0.6452,  0.9367,  0.42187,  0.07751, -0.90186
9872, 2218, -1.68472,  12.62768, -1.55672,  0.6635,  0.9367, -0.3056,  0.23425, -0.92189
9873, 2222, -1.26937,  12.43971, -1.35597,  0.6295,  0.9367,  0.98585, -0.05923, -0.14211
9874, 2219, -1.27629,  12.88256, -1.30408,  0.6295,  0.9638,  0.95809, -0.19764, -0.17871
9875, 2220, -1.42933,  12.79095, -1.03878,  0.6085,  0.9629,  0.73629, -0.62443,  0.25127
9876, 2219, -1.27629,  12.88256, -1.30408,  0.6295,  0.9638,  0.95809, -0.19764, -0.17871
9877, 2222, -1.26937,  12.43971, -1.35597,  0.6295,  0.9367,  0.98585, -0.05923, -0.14211
9878, 2221, -1.44477,  12.57906, -1.55576,  0.6452,  0.9367,  0.42187,  0.07751, -0.90186
9879, 2220, -1.42933,  12.79095, -1.03878,  0.6085,  0.9629,  0.73629, -0.62443,  0.25127
9880, 2223, -1.39905,  12.36585, -1.08035,  0.6085,  0.9367,  0.83217, -0.08412,  0.54487
9881, 2222, -1.26937,  12.43971, -1.35597,  0.6295,  0.9367,  0.98585, -0.05923, -0.14211
9882, 2218, -1.68472,  12.62768, -1.55672,  0.6635,  0.9367, -0.3056,  0.23425, -0.92189
9883, 2221, -1.44477,  12.57906, -1.55576,  0.6452,  0.9367,  0.42187,  0.07751, -0.90186
9884, 2224, -1.50596,  12.10795, -1.62705,  0.6452,  0.9146,  0.47088,  0.18932, -0.86079
9885, 2224, -1.50596,  12.10795, -1.62705,  0.6452,  0.9146,  0.47088,  0.18932, -0.86079
9886, 2221, -1.44477,  12.57906, -1.55576,  0.6452,  0.9367,  0.42187,  0.07751, -0.90186
9887, 2222, -1.26937,  12.43971, -1.35597,  0.6295,  0.9367,  0.98585, -0.05923, -0.14211
9888, 2225, -1.32713,  11.92122, -1.42403,  0.6295,  0.9114,  0.9729, -0.13711, -0.18164
9889, 2222, -1.26937,  12.43971, -1.35597,  0.6295,  0.9367,  0.98585, -0.05923, -0.14211
9890, 2223, -1.39905,  12.36585, -1.08035,  0.6085,  0.9367,  0.83217, -0.08412,  0.54487
9891, 2222, -1.26937,  12.43971, -1.35597,  0.6295,  0.9367,  0.98585, -0.05923, -0.14211
9892, 2225, -1.32713,  11.92122, -1.42403,  0.6295,  0.9114,  0.9729, -0.13711, -0.18164
9893, 2224, -1.50596,  12.10795, -1.62705,  0.6452,  0.9146,  0.47088,  0.18932, -0.86079
9894, 2223, -1.39905,  12.36585, -1.08035,  0.6085,  0.9367,  0.83217, -0.08412,  0.54487
9895, 2226, -1.40319,  11.72149, -1.19012,  0.6085,  0.9049,  0.78107, -0.43214,  0.44945
9896, 2225, -1.32713,  11.92122, -1.42403,  0.6295,  0.9114,  0.9729, -0.13711, -0.18164
9897, 2224, -1.50596,  12.10795, -1.62705,  0.6452,  0.9146,  0.47088,  0.18932, -0.86079
9898, 2227, -1.75151,  12.10389, -1.64835,  0.6635,  0.9112, -0.19797,  0.3043, -0.93101
9899, 2218, -1.68472,  12.62768, -1.55672,  0.6635,  0.9367, -0.3056,  0.23425, -0.92189
9900, 2213, -1.90047,  12.6102, -1.39568,  0.678,  0.9367, -0.81444,  0.2774, -0.50756
9901, 2218, -1.68472,  12.62768, -1.55672,  0.6635,  0.9367, -0.3056,  0.23425, -0.92189
9902, 2227, -1.75151,  12.10389, -1.64835,  0.6635,  0.9112, -0.19797,  0.3043, -0.93101
9903, 2225, -1.32713,  11.92122, -1.42403,  0.6295,  0.9114,  0.9729, -0.13711, -0.18164
