VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
1474, 5970,  17.9173,  6.44504,  96.52351,  0.89304,  0.17488, -5.30135E-08,  0.17984,  0.9837,  0.80194,  0.0491
1475, 5971,  14.18769,  6.44504,  96.52351,  0.87257,  0.18416, -5.30131E-08,  0.17984,  0.9837,  0.80194,  0.06318
1476, 5971,  14.18769,  6.44504,  96.52351,  0.87257,  0.18416, -5.30131E-08,  0.17984,  0.9837,  0.80194,  0.06318
1477, 5973,  14.18769,  4.29004,  96.19875,  0.89702,  0.20888, -4.15226E-07, -0.57068,  0.82117,  0.79371,  0.06318
1478, 5972,  17.9173,  4.29004,  96.19875,  0.90529,  0.18789, -7.70339E-07, -0.57067,  0.82118,  0.79371,  0.0491
1479, 5974,  17.91718,  3.41208,  94.61324,  0.9205,  0.18541, -3.62668E-07, -0.98524,  0.17118,  0.78684,  0.0491
1480, 5972,  17.9173,  4.29004,  96.19875,  0.90529,  0.18789, -7.70339E-07, -0.57067,  0.82118,  0.79371,  0.0491
1481, 5973,  14.18769,  4.29004,  96.19875,  0.89702,  0.20888, -4.15226E-07, -0.57068,  0.82117,  0.79371,  0.06318
1482, 5973,  14.18769,  4.29004,  96.19875,  0.89702,  0.20888, -4.15226E-07, -0.57068,  0.82117,  0.79371,  0.06318
1483, 5975,  14.18763,  3.41208,  94.61324,  0.92894,  0.20753, -2.54981E-08, -0.98524,  0.17117,  0.78689,  0.06318
1484, 5974,  17.91718,  3.41208,  94.61324,  0.9205,  0.18541, -3.62668E-07, -0.98524,  0.17118,  0.78684,  0.0491
1485, 5976,  17.91718,  3.70769,  92.80061,  0.93174,  0.17376,  1.50874E-07, -0.814, -0.58087,  0.84031,  0.0491
1486, 5979,  17.91718,  3.41208,  94.61324,  0.9205,  0.18541, -3.62668E-07, -0.98524,  0.17118,  0.84725,  0.0491
1487, 5978,  14.18763,  3.41208,  94.61324,  0.92894,  0.20753, -2.54981E-08, -0.98524,  0.17117,  0.84725,  0.06318
1488, 7578, -17.90597,  3.70769,  92.8006,  0.93174,  0.17376,  1.50874E-07, -0.814, -0.58087,  0.90724,  0.0491
1489, 7581, -14.17635,  3.70769,  92.8006,  0.95222,  0.18311,  1.50875E-07, -0.814, -0.58087,  0.90724,  0.06318
1490, 7580, -14.17641,  3.41208,  94.61322,  0.92894,  0.20753, -2.54981E-08, -0.98524,  0.17117,  0.91418,  0.06318
1491, 7580, -14.17641,  3.41208,  94.61322,  0.92894,  0.20753, -2.54981E-08, -0.98524,  0.17117,  0.91418,  0.06318
1492, 7579, -17.90597,  3.41208,  94.61322,  0.9205,  0.18541,  3.11665E-07, -0.98524,  0.17118,  0.91418,  0.0491
1493, 7578, -17.90597,  3.70769,  92.8006,  0.93174,  0.17376,  1.50874E-07, -0.814, -0.58087,  0.90724,  0.0491
1494, 7581, -14.17635,  3.70769,  92.8006,  0.95222,  0.18311,  1.50875E-07, -0.814, -0.58087,  0.90724,  0.06318
1495, 7578, -17.90597,  3.70769,  92.8006,  0.93174,  0.17376,  1.50874E-07, -0.814, -0.58087,  0.90724,  0.0491
1496, 7582, -17.90597,  5.88405,  91.63171,  0.93319,  0.15667,  2.38134E-07, -0.12383, -0.9923,  0.89791,  0.0491
1497, 7582, -17.90597,  5.88405,  91.63171,  0.93319,  0.15667,  2.38134E-07, -0.12383, -0.9923,  0.89791,  0.0491
1498, 7583, -14.17635,  5.88405,  91.63171,  0.95362,  0.14741, -0.00002, -0.12388, -0.9923,  0.89791,  0.06318
