VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
827, 207,  0.2384, -0.17825,  1.1531,  0.29795,  0.57183, -0.72556, -0.68741, -0.03206
828, 211,  0.1315,  0.02525,  1.2248,  0.29795,  0.19418, -0.64114, -0.76259, -0.08603
829, 212,  0.1641, -0.07525,  1.1952,  0.29795,  0.37792, -0.88578, -0.45867,  0.07081
830, 208,  0.188, -0.07455,  1.2144,  0.26717,  0.37792,  0.26011, -0.23038,  0.93769
831, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
832, 204,  0.2486, -0.16205,  1.1334,  0.33403,  0.57183, -0.16947,  0.27757, -0.94564
833, 207,  0.2384, -0.17825,  1.1531,  0.29795,  0.57183, -0.72556, -0.68741, -0.03206
834, 207,  0.2384, -0.17825,  1.1531,  0.29795,  0.57183, -0.72556, -0.68741, -0.03206
835, 212,  0.1641, -0.07525,  1.1952,  0.29795,  0.37792, -0.88578, -0.45867,  0.07081
836, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
837, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
838, 212,  0.1641, -0.07525,  1.1952,  0.29795,  0.37792, -0.88578, -0.45867,  0.07081
839, 211,  0.1315,  0.02525,  1.2248,  0.29795,  0.19418, -0.64114, -0.76259, -0.08603
840, 204,  0.2486, -0.16205,  1.1334,  0.33403,  0.57183, -0.16947,  0.27757, -0.94564
841, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
842, 206,  0.1934, -0.06625,  1.192,  0.3604,  0.37792,  0.8771,  0.46922, -0.10259
843, 211,  0.1315,  0.02525,  1.2248,  0.29795,  0.19418, -0.64114, -0.76259, -0.08603
844, 214,  0.1454,  0.04475,  1.2058,  0.33403,  0.19418,  0.01426,  0.19085, -0.98152
845, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
846, 215,  0.1638,  0.03775,  1.2236,  0.3604,  0.19418,  0.97101,  0.14402, -0.19077
847, 206,  0.1934, -0.06625,  1.192,  0.3604,  0.37792,  0.8771,  0.46922, -0.10259
848, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
849, 213,  0.1781, -0.06505,  1.1731,  0.33403,  0.37792, -0.15847,  0.22846, -0.96057
850, 214,  0.1454,  0.04475,  1.2058,  0.33403,  0.19418,  0.01426,  0.19085, -0.98152
851, 215,  0.1638,  0.03775,  1.2236,  0.3604,  0.19418,  0.97101,  0.14402, -0.19077
852, 218,  0.8341, -0.21145, -0.2021,  0.38553,  0.97754, -0.0809, -0.71406,  0.6954
853, 217,  0.8977,  0.01235, -0.1065,  0.38553,  0.81708, -0.2468, -0.52575,  0.81405
854, 216,  0.8068, -0.20115, -0.2243,  0.41055,  0.97754, -0.97107, -0.23877, -0.00339
855, 216,  0.8068, -0.20115, -0.2243,  0.41055,  0.97754, -0.97107, -0.23877, -0.00339
856, 217,  0.8977,  0.01235, -0.1065,  0.38553,  0.81708, -0.2468, -0.52575,  0.81405
857, 219,  0.881,  0.01135, -0.1223,  0.41055,  0.81708, -0.97275,  0.12769,  0.19351
858, 220,  0.8337, -0.18745, -0.2559,  0.43323,  0.97754, -0.18216,  0.13902, -0.97339
859, 216,  0.8068, -0.20115, -0.2243,  0.41055,  0.97754, -0.97107, -0.23877, -0.00339
860, 219,  0.881,  0.01135, -0.1223,  0.41055,  0.81708, -0.97275,  0.12769,  0.19351
861, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
862, 219,  0.881,  0.01135, -0.1223,  0.41055,  0.81708, -0.97275,  0.12769,  0.19351
863, 217,  0.8977,  0.01235, -0.1065,  0.38553,  0.81708, -0.2468, -0.52575,  0.81405
864, 217,  0.8977,  0.01235, -0.1065,  0.38553,  0.81708, -0.2468, -0.52575,  0.81405
865, 222,  0.9072,  0.13905,  0.0001,  0.38553,  0.70992,  0.22408, -0.85116,  0.47468
866, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
867, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
868, 222,  0.9072,  0.13905,  0.0001,  0.38553,  0.70992,  0.22408, -0.85116,  0.47468
869, 223,  0.7983,  0.09455,  1.0717,  0.38553,  0.0209, -0.69266, -0.13887, -0.70777
870, 223,  0.7983,  0.09455,  1.0717,  0.38553,  0.0209, -0.69266, -0.13887, -0.70777
871, 224,  0.7967,  0.10325,  1.0983,  0.41055,  0.0209, -0.96986, -0.09005,  0.22643
872, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
873, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
874, 224,  0.7967,  0.10325,  1.0983,  0.41055,  0.0209, -0.96986, -0.09005,  0.22643
875, 225,  0.7973,  0.12515,  1.0822,  0.43323,  0.0209, -0.63937,  0.47058, -0.60808
876, 219,  0.881,  0.01135, -0.1223,  0.41055,  0.81708, -0.97275,  0.12769,  0.19351
877, 226,  0.8955,  0.03155, -0.1348,  0.43323,  0.81708, -0.05088,  0.58802, -0.80725
878, 220,  0.8337, -0.18745, -0.2559,  0.43323,  0.97754, -0.18216,  0.13902, -0.97339
879, 226,  0.8955,  0.03155, -0.1348,  0.43323,  0.81708, -0.05088,  0.58802, -0.80725
880, 219,  0.881,  0.01135, -0.1223,  0.41055,  0.81708, -0.97275,  0.12769,  0.19351
881, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
882, 227,  0.8684, -0.20495, -0.234,  0.45787,  0.97754,  0.82309, -0.49825, -0.27251
883, 220,  0.8337, -0.18745, -0.2559,  0.43323,  0.97754, -0.18216,  0.13902, -0.97339
884, 226,  0.8955,  0.03155, -0.1348,  0.43323,  0.81708, -0.05088,  0.58802, -0.80725
885, 225,  0.7973,  0.12515,  1.0822,  0.43323,  0.0209, -0.63937,  0.47058, -0.60808
886, 228,  0.9004,  0.16385, -0.0027,  0.43323,  0.70992, -0.22969,  0.90336, -0.36218
887, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
888, 221,  0.8901,  0.14495, -0.001,  0.41055,  0.70992, -0.98974, -0.14268, -0.00792
